               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032863,           0.0071357,            0.005027,             0.99334,                   1,               0.995,             0.85018,           0.0042748,           0.0023914,          0.00048899,             0.00769,             0.00769,             0.00769
                  37,             0.03312,           0.0072781,           0.0035196,             0.99245,                   1,               0.995,             0.86958,           0.0048879,           0.0022182,          0.00046957,            0.007624,            0.007624,            0.007624
                  38,            0.036385,           0.0071086,           0.0034341,             0.99469,                   1,               0.995,             0.87098,           0.0046177,           0.0023022,          0.00039937,            0.007558,            0.007558,            0.007558
                  39,            0.029858,           0.0071294,           0.0049599,             0.99235,                   1,               0.995,             0.86798,           0.0046006,           0.0022172,          0.00045608,            0.007492,            0.007492,            0.007492
                  40,            0.033474,           0.0072445,           0.0040636,             0.99231,                   1,               0.995,             0.87003,           0.0054937,           0.0023338,          0.00041983,            0.007426,            0.007426,            0.007426
                  41,            0.029113,           0.0070467,           0.0050942,             0.98587,                   1,               0.995,             0.87228,           0.0048237,           0.0024583,          0.00040131,             0.00736,             0.00736,             0.00736
                  42,            0.032692,           0.0063605,           0.0052058,             0.97822,             0.98438,               0.995,             0.86584,           0.0055951,           0.0036492,          0.00038172,            0.007294,            0.007294,            0.007294
                  43,            0.034215,            0.007049,           0.0046305,             0.96919,                   1,               0.995,             0.84149,           0.0046325,           0.0029203,          0.00047165,            0.007228,            0.007228,            0.007228
                  44,            0.033481,            0.006606,           0.0053227,             0.97479,             0.58323,             0.85359,             0.70949,           0.0051064,            0.003164,            0.011159,            0.007162,            0.007162,            0.007162
                  45,            0.029929,           0.0067371,           0.0040562,             0.92859,             0.95642,             0.98967,             0.86194,           0.0042253,           0.0026882,           0.0014975,            0.007096,            0.007096,            0.007096
                  46,            0.029338,             0.00659,           0.0040879,             0.99399,                   1,               0.995,             0.88112,           0.0041945,           0.0022515,          0.00042027,             0.00703,             0.00703,             0.00703
                  47,            0.030781,           0.0068038,           0.0038364,             0.98768,                   1,               0.995,              0.8567,           0.0045096,           0.0022205,          0.00035607,            0.006964,            0.006964,            0.006964
                  48,            0.033654,           0.0065028,           0.0039593,             0.99356,                   1,               0.995,             0.88477,           0.0043222,           0.0021501,          0.00036187,            0.006898,            0.006898,            0.006898
                  49,                0.03,           0.0065969,           0.0038657,             0.99259,                   1,               0.995,             0.84525,           0.0052535,           0.0020853,          0.00038673,            0.006832,            0.006832,            0.006832
                  50,            0.029213,            0.006533,           0.0031375,             0.99444,                   1,               0.995,             0.87806,           0.0045441,           0.0021391,           0.0003851,            0.006766,            0.006766,            0.006766
                  51,             0.02969,           0.0065614,           0.0023852,             0.99661,                   1,               0.995,             0.88049,           0.0044484,           0.0021561,          0.00034604,              0.0067,              0.0067,              0.0067
                  52,            0.028375,           0.0064676,           0.0030677,             0.99043,                   1,               0.995,             0.90442,           0.0041434,           0.0024001,          0.00031184,            0.006634,            0.006634,            0.006634
                  53,            0.026096,           0.0061715,           0.0031571,             0.99263,             0.99362,               0.995,             0.89867,           0.0038526,           0.0022675,          0.00040534,            0.006568,            0.006568,            0.006568
                  54,            0.030388,           0.0064296,           0.0050083,             0.99128,                   1,               0.995,             0.89103,           0.0034672,           0.0021867,          0.00040429,            0.006502,            0.006502,            0.006502
                  55,            0.027436,           0.0064258,           0.0029496,             0.99316,                   1,               0.995,             0.89518,           0.0037781,           0.0022167,          0.00036023,            0.006436,            0.006436,            0.006436
                  56,            0.027876,             0.00676,           0.0035561,             0.99424,                   1,               0.995,             0.85603,             0.00536,           0.0021753,          0.00031201,             0.00637,             0.00637,             0.00637
                  57,            0.025197,            0.006011,           0.0018828,             0.99481,                   1,               0.995,             0.88827,           0.0039802,           0.0020844,          0.00028974,            0.006304,            0.006304,            0.006304
                  58,            0.028646,           0.0067658,           0.0026865,             0.99556,                   1,               0.995,             0.88957,           0.0044242,           0.0020096,          0.00031817,            0.006238,            0.006238,            0.006238
                  59,             0.02884,           0.0059577,           0.0052769,             0.99353,                   1,               0.995,             0.87695,           0.0037926,           0.0020454,          0.00030801,            0.006172,            0.006172,            0.006172
                  60,            0.025295,            0.006515,           0.0027867,             0.99161,                   1,               0.995,             0.89167,           0.0042561,           0.0022695,          0.00038772,            0.006106,            0.006106,            0.006106
                  61,            0.026932,           0.0063773,           0.0028921,             0.99161,                   1,               0.995,             0.88722,           0.0039039,           0.0020814,          0.00037205,             0.00604,             0.00604,             0.00604
                  62,            0.025899,           0.0063754,           0.0050435,             0.99699,                   1,               0.995,             0.89366,           0.0037392,           0.0019715,          0.00024737,            0.005974,            0.005974,            0.005974
                  63,            0.024907,           0.0062625,           0.0033718,             0.99576,             0.99947,               0.995,             0.89781,           0.0038681,           0.0018311,          0.00025172,            0.005908,            0.005908,            0.005908
                  64,            0.022827,           0.0058655,           0.0022175,             0.99623,                   1,               0.995,              0.8788,           0.0038193,           0.0018443,          0.00032062,            0.005842,            0.005842,            0.005842
                  65,             0.02378,           0.0061164,           0.0032328,             0.99674,                   1,               0.995,             0.90297,           0.0036064,           0.0017932,          0.00029112,            0.005776,            0.005776,            0.005776
                  66,            0.023656,           0.0062983,           0.0045667,              0.9969,                   1,               0.995,             0.88368,           0.0042084,           0.0020267,          0.00028662,             0.00571,             0.00571,             0.00571
                  67,            0.024933,           0.0058602,           0.0028777,             0.99455,                   1,               0.995,             0.91798,            0.003274,           0.0021844,          0.00034115,            0.005644,            0.005644,            0.005644
                  68,            0.023302,           0.0056764,           0.0026011,             0.99473,                   1,               0.995,             0.89844,           0.0042552,           0.0020509,          0.00028605,            0.005578,            0.005578,            0.005578
                  69,            0.026116,           0.0057177,            0.002023,             0.99584,                   1,               0.995,             0.90835,           0.0031645,           0.0018393,          0.00024185,            0.005512,            0.005512,            0.005512
                  70,            0.022785,           0.0059839,           0.0025119,             0.99575,                   1,               0.995,             0.89862,           0.0039889,           0.0021485,          0.00023519,            0.005446,            0.005446,            0.005446
                  71,             0.02565,           0.0058808,           0.0021607,             0.99551,                   1,               0.995,             0.91171,             0.00309,            0.001726,          0.00022162,             0.00538,             0.00538,             0.00538
                  72,            0.025947,           0.0058924,           0.0021931,             0.99551,                   1,               0.995,             0.90863,           0.0032762,           0.0016877,          0.00026681,            0.005314,            0.005314,            0.005314
                  73,            0.025431,           0.0058706,           0.0019154,             0.99476,                   1,               0.995,             0.91835,           0.0029973,             0.00165,          0.00032404,            0.005248,            0.005248,            0.005248
                  74,            0.024659,           0.0057978,           0.0029234,             0.99463,                   1,               0.995,             0.92733,            0.002763,           0.0016655,          0.00026087,            0.005182,            0.005182,            0.005182
                  75,            0.023191,           0.0054795,           0.0016665,             0.99636,                   1,               0.995,             0.89736,           0.0035119,           0.0017039,          0.00023896,            0.005116,            0.005116,            0.005116
                  76,             0.02182,           0.0056071,           0.0018742,             0.99619,                   1,               0.995,             0.90397,           0.0032956,            0.001731,           0.0002668,             0.00505,             0.00505,             0.00505
                  77,            0.020131,           0.0055438,           0.0017209,             0.99551,                   1,               0.995,             0.92515,           0.0028531,           0.0016955,          0.00026625,            0.004984,            0.004984,            0.004984
                  78,            0.021408,           0.0055544,           0.0015268,             0.99599,                   1,               0.995,             0.91292,           0.0032879,           0.0016908,          0.00025277,            0.004918,            0.004918,            0.004918
                  79,             0.01966,           0.0058927,           0.0019264,             0.99456,                   1,               0.995,             0.92857,           0.0029917,           0.0016628,          0.00023644,            0.004852,            0.004852,            0.004852
                  80,             0.02378,           0.0051727,           0.0022317,             0.99577,                   1,               0.995,             0.93244,           0.0028883,           0.0015687,           0.0002315,            0.004786,            0.004786,            0.004786
                  81,            0.021446,           0.0054161,           0.0022764,             0.99641,                   1,               0.995,              0.9218,           0.0031351,           0.0015673,          0.00021417,             0.00472,             0.00472,             0.00472
                  82,            0.022025,           0.0057351,           0.0021008,             0.99595,                   1,               0.995,             0.90937,           0.0034156,            0.001522,          0.00022218,            0.004654,            0.004654,            0.004654
                  83,            0.020972,           0.0055306,            0.001805,               0.996,                   1,               0.995,             0.92157,            0.003229,           0.0015318,          0.00022396,            0.004588,            0.004588,            0.004588
                  84,            0.022028,           0.0058433,           0.0019785,             0.99663,                   1,               0.995,              0.9229,           0.0030127,           0.0016361,          0.00021579,            0.004522,            0.004522,            0.004522
                  85,            0.020984,           0.0053858,             0.00259,             0.99355,                   1,               0.995,             0.91828,           0.0029411,           0.0015671,          0.00023196,            0.004456,            0.004456,            0.004456
                  86,            0.020988,           0.0055348,           0.0017946,             0.99629,                   1,               0.995,             0.91101,           0.0031178,           0.0015568,          0.00022644,             0.00439,             0.00439,             0.00439
                  87,            0.020681,            0.005209,           0.0017164,             0.99665,                   1,               0.995,             0.92656,           0.0025971,           0.0014895,          0.00020149,            0.004324,            0.004324,            0.004324
                  88,            0.019083,           0.0052172,           0.0022368,             0.99615,                   1,               0.995,             0.93301,           0.0030345,           0.0016847,          0.00020057,            0.004258,            0.004258,            0.004258
                  89,            0.018824,           0.0052651,           0.0016647,             0.99616,              0.9986,               0.995,             0.93434,           0.0028238,           0.0014734,          0.00019975,            0.004192,            0.004192,            0.004192
                  90,            0.020074,           0.0052978,           0.0021325,             0.99666,                   1,               0.995,             0.93671,           0.0025996,           0.0014482,          0.00020599,            0.004126,            0.004126,            0.004126
                  91,            0.021968,           0.0054532,           0.0015014,             0.99667,                   1,               0.995,             0.93748,           0.0027359,           0.0015131,          0.00022384,             0.00406,             0.00406,             0.00406
                  92,            0.020834,           0.0054011,           0.0014368,              0.9954,                   1,               0.995,             0.93772,           0.0026653,           0.0014469,          0.00022425,            0.003994,            0.003994,            0.003994
                  93,             0.01809,           0.0051878,           0.0015888,             0.99697,                   1,               0.995,             0.94233,           0.0025903,           0.0013752,          0.00022585,            0.003928,            0.003928,            0.003928
                  94,            0.018051,           0.0050982,           0.0020994,              0.9962,                   1,               0.995,             0.93748,           0.0026606,           0.0014734,           0.0002206,            0.003862,            0.003862,            0.003862
                  95,            0.018643,           0.0054766,           0.0018732,             0.99623,                   1,               0.995,             0.94097,           0.0025624,           0.0015655,          0.00019761,            0.003796,            0.003796,            0.003796
                  96,            0.019793,           0.0052858,            0.001505,             0.99683,                   1,               0.995,             0.93561,           0.0027381,           0.0014162,          0.00018602,             0.00373,             0.00373,             0.00373
                  97,            0.018119,           0.0051323,           0.0016118,             0.99661,                   1,               0.995,             0.93659,            0.002633,           0.0014196,          0.00019071,            0.003664,            0.003664,            0.003664
                  98,            0.017338,           0.0051558,           0.0024356,             0.99545,                   1,               0.995,             0.94155,           0.0027843,           0.0014403,          0.00018954,            0.003598,            0.003598,            0.003598
                  99,            0.018246,           0.0050008,           0.0017713,             0.99635,                   1,               0.995,             0.92802,           0.0026031,           0.0014454,          0.00018736,            0.003532,            0.003532,            0.003532
                 100,            0.017749,           0.0052238,           0.0012307,             0.99657,                   1,               0.995,             0.93534,           0.0025848,           0.0015338,          0.00020058,            0.003466,            0.003466,            0.003466
